tipo	Admiration_2	Adoration_2	Aesthetic Appreciation_2	Amusement_2	Anger_2	Annoyance_2	Anxiety_2	Awe_2	Awkwardness_2	Boredom_2	Calmness_2	Concentration_2	Confusion_2	Contemplation_2	Contempt_2	Contentment_2	Craving_2	Desire_2	Determination_2	Disappointment_2	Disapproval_2	Disgust_2	Distress_2	Doubt_2	Ecstasy_2	Embarrassment_2	Empathic Pain_2	Enthusiasm_2	Entrancement_2	Envy_2	Excitement_2	Fear_2	Gratitude_2	Guilt_2	Horror_2	Interest_2	Joy_2	Love_2	Nostalgia_2	Pain_2	Pride_2	Realization_2	Relief_2	Romance_2	Sadness_2	Sarcasm_2	Satisfaction_2	Shame_2	Surprise (negative)_2	Surprise (positive)_2	Sympathy_2	Tiredness_2	Triumph_2
A_Preparatoria	0	0	0	0	0	0.45179	0	0	0	0	0	0	0.20286	0	0	0	0	0	0	0.15276	0.13169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14578	0	0	0	0	0	0	0.29913	0	0	0	0
A_Preparatoria	0	0	0	0	0	0.3285	0	0	0	0	0	0	0	0	0.10912	0	0	0	0	0.80505	0.40273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15004	0	0	0	0	0	0	0	0
A_Preparatoria	0	0	0	0	0	0.13567	0	0	0	0	0	0	0	0.6025	0.19852	0	0	0	0	0.13442	0.26609	0	0.18932	0	0	0	0.29726	0	0	0	0	0	0	0	0	0	0	0	0	0.13418	0	0.19866	0	0	0.17314	0	0	0	0	0	0.17421	0	0
A_Preparatoria	0	0	0	0	0	0	0.45044	0	0	0	0	0.11373	0	0.39072	0	0	0	0	0.18067	0	0	0	0.20595	0.19607	0	0	0	0	0	0	0	0.51699	0	0	0	0	0	0	0	0	0	0.27996	0	0	0	0	0	0	0	0	0	0	0
A_Preparatoria	0	0	0	0	0	0.37633	0	0	0	0	0	0.20985	0.21558	0.25269	0	0	0	0	0.16067	0.17266	0.11276	0	0	0.12069	0	0	0	0	0	0	0	0	0	0	0	0.10126	0	0	0	0	0	0.17774	0	0	0	0	0	0	0	0	0	0	0
A_Preparatoria	0.23425	0	0.12813	0	0	0	0	0	0	0	0	0	0	0	0	0.11265	0	0	0.30454	0	0	0	0	0	0	0	0	0.782	0	0	0.29221	0	0	0	0	0.44512	0.17411	0	0	0	0.1643	0	0	0	0	0	0.24224	0	0	0	0	0	0
A_Profesional	0	0	0	0	0	0	0	0	0.10096	0.1065	0.13207	0.14626	0.24174	0.14077	0	0.14111	0	0	0	0	0	0	0	0	0	0	0	0.12909	0	0	0	0	0	0	0	0.14618	0	0	0	0	0	0	0	0	0	0	0.12449	0	0	0	0	0	0
A_Preparatoria	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42884	0	0.13503	0	0	0.2306	0.1992	0	0	0	0.10566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11532	0.16903	0.37377	0.17589	0	0.20101	0	0.19373	0.10514	0	0	0	0	0.27306
A_Preparatoria	0	0	0	0	0	0.26013	0	0	0	0	0	0	0.18339	0.18329	0	0	0	0	0.11623	0.21027	0.10556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15548	0	0	0	0	0	0.11154	0	0	0	0	0	0	0	0	0	0	0
A_Preparatoria	0	0	0	0	0	0.22013	0.11529	0	0	0	0	0	0	0	0	0	0	0	0	0.56246	0.15419	0	0.34323	0	0	0	0.1321	0	0	0	0	0	0	0.10231	0	0	0	0	0	0	0	0.11803	0	0	0.58258	0	0	0.10246	0	0	0	0	0
